Name,Description,Data Type,Data Unit,Can Read,Can Write
aircraft.acceleration,Aircraft forward acceleration KTS/sec,System.Double,,TRUE,FALSE
aircraft.acceleration.ias,"Aircraft forward acceleration kts/sec, based on airspeed",System.Double,,TRUE,FALSE
aircraft.acceleration.X,Aircraft side acceleration,System.Double,,TRUE,FALSE
aircraft.acceleration.Y,Aircraft vertical acceleration,System.Double,,TRUE,FALSE
aircraft.adirs.display.content,Adirs display content,System.String,,TRUE,FALSE
aircraft.adiru.1.align_minutes_left,Minutes left for alignment,System.Double,,TRUE,FALSE
aircraft.adiru.1.aligning,True if the IRS is aligning,System.Boolean,,TRUE,FALSE
aircraft.adiru.1.attitude_available,Attitude is available,System.Boolean,,TRUE,FALSE
aircraft.adiru.1.display_status,IRS display status,System.Int32,,TRUE,FALSE
aircraft.adiru.1.fault.bank,IRS bank fault,System.Double,,TRUE,TRUE
aircraft.adiru.1.fault.heading,IRS heading fault,System.Double,,TRUE,TRUE
aircraft.adiru.1.fault.pitch,IRS pitch fault,System.Double,,TRUE,TRUE
aircraft.adiru.1.groundspeed,Ground speed output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.1.heading,True heading output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.1.heading.mag,Magnetic heading data,System.Double,,TRUE,FALSE
aircraft.adiru.1.latitude,Latitude output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.1.longitude,Longitude output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.1.magVar,Magnetic variation,System.Double,,TRUE,FALSE
aircraft.adiru.1.need_heading_entry,True if the IRS requires heading entry,System.Boolean,,TRUE,FALSE
aircraft.adiru.1.need_position_entry,True if the IRS requires position entry,System.Boolean,,TRUE,FALSE
aircraft.adiru.1.position_available,Position is available,System.Boolean,,TRUE,FALSE
aircraft.adiru.1.track,True track output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.1.track.mag,Magnetic track data,System.Double,,TRUE,FALSE
aircraft.adiru.1.windheading,Wind heading output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.1.windspeed,Wind speed output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.align_minutes_left,Minutes left for alignment,System.Double,,TRUE,FALSE
aircraft.adiru.2.aligning,True if the IRS is aligning,System.Boolean,,TRUE,FALSE
aircraft.adiru.2.attitude_available,Attitude is available,System.Boolean,,TRUE,FALSE
aircraft.adiru.2.display_status,IRS display status,System.Int32,,TRUE,FALSE
aircraft.adiru.2.fault.bank,IRS bank fault,System.Double,,TRUE,TRUE
aircraft.adiru.2.fault.heading,IRS heading fault,System.Double,,TRUE,TRUE
aircraft.adiru.2.fault.pitch,IRS pitch fault,System.Double,,TRUE,TRUE
aircraft.adiru.2.groundspeed,Ground speed output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.heading,True heading output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.heading.mag,Magnetic heading data,System.Double,,TRUE,FALSE
aircraft.adiru.2.latitude,Latitude output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.longitude,Longitude output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.magVar,Magnetic variation,System.Double,,TRUE,FALSE
aircraft.adiru.2.need_heading_entry,True if the IRS requires heading entry,System.Boolean,,TRUE,FALSE
aircraft.adiru.2.need_position_entry,True if the IRS requires position entry,System.Boolean,,TRUE,FALSE
aircraft.adiru.2.position_available,Position is available,System.Boolean,,TRUE,FALSE
aircraft.adiru.2.track,True track output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.track.mag,Magnetic track data,System.Double,,TRUE,FALSE
aircraft.adiru.2.windheading,Wind heading output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.2.windspeed,Wind speed output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.align_minutes_left,Minutes left for alignment,System.Double,,TRUE,FALSE
aircraft.adiru.3.aligning,True if the IRS is aligning,System.Boolean,,TRUE,FALSE
aircraft.adiru.3.attitude_available,Attitude is available,System.Boolean,,TRUE,FALSE
aircraft.adiru.3.display_status,IRS display status,System.Int32,,TRUE,FALSE
aircraft.adiru.3.fault.bank,IRS bank fault,System.Double,,TRUE,TRUE
aircraft.adiru.3.fault.heading,IRS heading fault,System.Double,,TRUE,TRUE
aircraft.adiru.3.fault.pitch,IRS pitch fault,System.Double,,TRUE,TRUE
aircraft.adiru.3.groundspeed,Ground speed output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.heading,True heading output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.heading.mag,Magnetic heading data,System.Double,,TRUE,FALSE
aircraft.adiru.3.latitude,Latitude output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.longitude,Longitude output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.magVar,Magnetic variation,System.Double,,TRUE,FALSE
aircraft.adiru.3.need_heading_entry,True if the IRS requires heading entry,System.Boolean,,TRUE,FALSE
aircraft.adiru.3.need_position_entry,True if the IRS requires position entry,System.Boolean,,TRUE,FALSE
aircraft.adiru.3.position_available,Position is available,System.Boolean,,TRUE,FALSE
aircraft.adiru.3.track,True track output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.track.mag,Magnetic track data,System.Double,,TRUE,FALSE
aircraft.adiru.3.windheading,Wind heading output from IRS,System.Double,,TRUE,FALSE
aircraft.adiru.3.windspeed,Wind speed output from IRS,System.Double,,TRUE,FALSE
aircraft.alphaprot,AOA exceeds alpha protection,System.Boolean,,TRUE,FALSE
aircraft.altitude,The true altitude of the aircraft in feet MSL,System.Double,,TRUE,TRUE
aircraft.altitude.aboveGround,Aircraft altitude AGL in feet,System.Double,,TRUE,FALSE
aircraft.altitude.captain,Indicated altitude on captain PFD,System.Double,,TRUE,FALSE
aircraft.altitude.compensation,Altitude compensation due to temperature,System.Double,,TRUE,FALSE
aircraft.altitude.dradio,Aircraft delta altitude AGL in feet/sec,System.Double,,TRUE,FALSE
aircraft.altitude.FO,Indicated altitude on F/O PFD,System.Double,,TRUE,FALSE
aircraft.altitude.ground,Ground altitude below aircraft in feet,System.Double,,TRUE,FALSE
aircraft.altitude.radio,Aircraft radio altitude in feet,System.Double,,TRUE,FALSE
aircraft.AOA,Aircraft angle of attack,System.Double,,TRUE,FALSE
aircraft.aoa.dampened,Dampened AOA,System.Double,,TRUE,FALSE
aircraft.ap.pitchInput,Autopilot pitch input,System.Double,,TRUE,FALSE
aircraft.ap.wingload,Autopilot commanded wingload,System.Double,,TRUE,FALSE
aircraft.atsu.VHF3Data,VHF3 in data mode,System.Boolean,,TRUE,TRUE
aircraft.autoflight.pitchCMD,Autoflight pitch command,System.Double,,TRUE,FALSE
aircraft.autoflight.pitchReference,Autoflight pitch reference,System.Double,,TRUE,FALSE
aircraft.autoflight.rollCMD,Autoflight roll command,System.Double,,TRUE,FALSE
aircraft.balance.MAC,Aircraft MAC in %,System.Double,,TRUE,FALSE
aircraft.bank,Aircraft bank,System.Double,,TRUE,TRUE
aircraft.brakes.brakeTempFactor,Temperature factor for braking,System.Double,,TRUE,TRUE
aircraft.brakes.fan.left,Brake fan left running,System.Boolean,,TRUE,FALSE
aircraft.brakes.fan.right,Brake fan right running,System.Boolean,,TRUE,FALSE
aircraft.brakes.input.left.captain,Left brake captain input,System.Double,,TRUE,FALSE
aircraft.brakes.input.left.fo,Left brake f/o input,System.Double,,TRUE,FALSE
aircraft.brakes.input.left.total,Left brake total input,System.Double,,TRUE,FALSE
aircraft.brakes.input.right.captain,Right brake captain input,System.Double,,TRUE,FALSE
aircraft.brakes.input.right.fo,Right brake f/o input,System.Double,,TRUE,FALSE
aircraft.brakes.input.right.total,Right brake total input,System.Double,,TRUE,FALSE
aircraft.brakes.percentage.1,Simulator brake percentage left,System.Double,,TRUE,FALSE
aircraft.brakes.percentage.2,Simulator brake percentage right,System.Double,,TRUE,FALSE
aircraft.brakes.temperature.target.1,Brake target temperature wheel 1,System.Double,,TRUE,FALSE
aircraft.brakes.temperature.target.2,Brake target temperature wheel 2,System.Double,,TRUE,FALSE
aircraft.brakes.temperature.target.3,Brake target temperature wheel 3,System.Double,,TRUE,FALSE
aircraft.brakes.temperature.target.4,Brake target temperature wheel 4,System.Double,,TRUE,FALSE
aircraft.cabin.aft.temp,Cabin temperature aft in celcius,System.Double,,TRUE,FALSE
aircraft.cabin.differentialPressure,Differential pressure,System.Double,,TRUE,FALSE
aircraft.cabin.fwd.temp.air,Cabin temperature fwd in celcius,System.Double,,TRUE,FALSE
aircraft.cabin.fwd.temp.seat,Seat temperature fwd in celcius,System.Double,,TRUE,FALSE
aircraft.cabin.pressure,Cabin pressure,System.Double,,TRUE,FALSE
aircraft.cargo.aft.amount,Aft cargo amount,System.Double,kg,TRUE,TRUE
aircraft.cargo.aft.capacity,Aft cargo capacity,System.Double,kg,TRUE,FALSE
aircraft.cargo.bulk.capacity,Bulk cargo capacity,System.Double,kg,TRUE,FALSE
aircraft.cargo.forward.amount,Forward cargo amount,System.Double,kg,TRUE,TRUE
aircraft.cargo.forward.capacity,Forward cargo capacity,System.Double,kg,TRUE,FALSE
aircraft.cg,Center of gravity in %MAC,System.Double,,TRUE,TRUE
aircraft.communication.ifeInUse,IFE in use indicator,System.Boolean,,TRUE,TRUE
