Name,Description,Data Type,Data Unit,Can Read,Can Write
aircraft.acceleration,Aircraft forward acceleration KTS/sec,System.Double,,TRUE,FALSE
aircraft.altitude,The true altitude of the aircraft in feet MSL,System.Double,,TRUE,TRUE
aircraft.altitude.aboveGround,Aircraft altitude AGL in feet,System.Double,,TRUE,FALSE
aircraft.altitude.compensation,Altitude compensation due to temperature,System.Double,,TRUE,FALSE
aircraft.altitude.ground,Ground altitude below aircraft in feet,System.Double,,TRUE,FALSE
aircraft.altitude.radio,Aircraft altitude AGL in feet,System.Double,,TRUE,FALSE
aircraft.AOA,Aircraft angle of attack,System.Double,,TRUE,FALSE
aircraft.autoflight.accel.pitchGain,Acceleration pitch gain,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.adaptive,Use adaptive gain in autopilot pitch,System.Boolean,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.adaptiveCmdDifferential,Enable IAS based CMD differential,System.Boolean,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.cmdLimit,Max cmd input for pitch,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.differential.high,Autopilot pitch differential gain high,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.differential.low,Autopilot pitch differential gain low,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.highSpeed,Autopilot speed for high gain,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.lowSpeed,Autopilot speed for low gain,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.proportional.goAround,Autopilot pitch proportional gain go around,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.proportional.high,Autopilot pitch proportional gain high,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.pitch.proportional.low,Autopilot pitch proportional gain low,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.roll.differential,Autopilot roll differential gain,System.Double,,TRUE,TRUE
aircraft.autoflight.autopilot.roll.proportional,Autopilot roll proportional gain,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.accelerationTimeFactor,Autothrottle acceleration filter time factor,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.deltaVlsThreshold,Autothrottle Vls delta under which deceleration is guarded,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.gain,Autothrottle gain,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.gain.climbBuildup,Autothrottle gain during climb buildup,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.gain.machMode,Autothrottle gain in mach mode,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.gain.singleEngine,Gain factor applied during single engine,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.gain.softAlt,Autothrottle gain in softAlt mode,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.maxAcceleration,Autothrottle max commanded acceleration,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.maxAcceleration.se ,Autothrottle max commanded acceleration single engine,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.maxDeceleration,Autothrottle guarded deceleration maximum value at Vls,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.scalar.high,Autothrottle acceleration scalar high Bank,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.scalar.high.se,Autothrottle acceleration scalar high Bank single engine,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.scalar.low,Autothrottle acceleration scalar low bank,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.scalar.low.se,Autothrottle acceleration scalar low bank single engine,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.singleEngineDampener.highspeed,Autothrottle single engine dampened mode high speed cutoff,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.singleEngineDampener.lowspeed,Autothrottle single engine dampened mode low speed cutoff,System.Double,,TRUE,TRUE
aircraft.autoflight.autothrottle.speedTimeFactor,Autothrottle speed filter time factor,System.Double,,TRUE,TRUE
aircraft.autoflight.McpSpeed_TargetPitchFactor,Mcp speed mode target pitch factor,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.differential,Pitch differential gain,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.elevatorRateLimit,Elevator rate limit in percent,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.feedForward,Pitch feed forward gain,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.integral,Pitch integral gain,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.maximumRate,Maximum pitch rate for AP roll channel,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.proportional,Pitch proportional gain,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.reference.base,Pitch reference base filter time,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.reference.factor,Pitch reference aoa factor,System.Double,,TRUE,TRUE
aircraft.autoflight.pitch.uniformAxis,Rescale negative pitch range,System.Boolean,,TRUE,TRUE
aircraft.autoflight.roll.lowSpeed,Roll low speed threshold,System.Double,,TRUE,TRUE
aircraft.autoflight.roll.lowSpeedScalar,Roll scalar low speed,System.Double,,TRUE,TRUE
aircraft.autoflight.roll.maximumRate,Maximum roll rate for AP roll channel,System.Double,,TRUE,TRUE
aircraft.autoflight.UseFpaForPitch,Use FPA for pitch,System.Boolean,,TRUE,TRUE
aircraft.autoflight.yaw.dutchRoll.gain,Dutch roll augmentation,System.Double,,TRUE,TRUE
aircraft.autoflight.yawDamper.D,Yaw damper D factor,System.Double,,TRUE,TRUE
aircraft.autoflight.yawDamper.P,Yaw damper P factor,System.Double,,TRUE,TRUE
aircraft.balance.MAC,Aircraft MAC in %,System.Double,,TRUE,FALSE
aircraft.bank,Aircraft bank,System.Double,,TRUE,TRUE
aircraft.cargo.aft.amount,Aft cargo amount,System.Double,kg,TRUE,TRUE
aircraft.cargo.aft.capacity,Aft cargo capacity,System.Double,kg,TRUE,FALSE
aircraft.cargo.forward.amount,Forward cargo amount,System.Double,kg,TRUE,TRUE
aircraft.cargo.forward.capacity,Forward cargo capacity,System.Double,kg,TRUE,FALSE
aircraft.cdu1.display,CDU display 1 XML,System.String,,TRUE,FALSE
  <title></title>,,,,,
  <titlePage></titlePage>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <scratchpad></scratchpad>,,,,,
</root>,,,,,
aircraft.cdu2.display,CDU display 2 XML,System.String,,TRUE,FALSE
  <title></title>,,,,,
  <titlePage></titlePage>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
  <line></line>,,,,,
